analysis_id,Corticosterone,Corticosterone [QUAL 347.3 -> 329.3],Aldosterone,Aldosterone [QUAL 361.2 -> 343.1],Cortisone,Cortisone [QUAL 361.2 -> 121.1],Cortisol,Cortisol [QUAL 363.2 -> 97.1]
SBLK1,NA,NA,NA,NA,60.60851095125535,NA,NA,NA
SBLK2,NA,NA,1.9884055008374013,3.2618327778903753,NA,NA,86.38625136078176,15.908406538624973
UBLK,0.42285927932263784,0.07134146942961217,-0.10447710964295938,-0.46527942938723094,0.5961555066305688,0.341144585916664,3.1259583683500107,2.4529070355079763
Cal0,0.41486486925660093,NA,-0.12280147964265964,-0.6033765214870827,0.5652755511886938,0.24362652587958347,2.7534772042548363,2.0200963788222404
CalA,1.0102047175659898,0.7106436405034706,0.2801023849120232,NA,1.603525354305967,1.6281082396753568,6.565866857694844,6.178392082832179
CalB,2.0311730910758614,1.5707772475763901,0.3730703639292397,0.1577016295912283,3.1793835037699685,2.674402621593805,9.546237086168635,10.657803663986268
CalC,7.033816667372411,8.118600793204008,1.8370321944954588,1.5290359275183114,10.062359737486325,10.704414701218367,50.36675055346742,48.629372870540365
CalD,15.021481683029933,15.983844761366228,2.7417115176691293,4.34087466486659,22.44086757851624,25.183074437512467,79.64852480394381,93.16199995099896
CalE,42.43230993692543,40.846777197853385,5.408291292232638,6.639018597782181,71.38113536376544,NA,287.0031523816406,254.32663236140112
CalF,106.95137818490268,122.99938497302661,12.883614122823783,10.582369180241692,176.82471906718467,NA,702.4084793546549,722.5657990702414
InstBLK,12.592310733309997,NA,1.201254388236142,NA,NA,NA,38.54533132303007,NA
QC_High_1,75.76650714749863,104.81194778287724,8.790656934911224,16.24931758324639,117.25552058281662,NA,601.5066176201356,591.9700117002211
QC_High_2,75.03498747044318,91.26406624631748,9.296295435819237,10.673176285105416,102.42611212934646,NA,489.4876125489749,494.4840872553028
QC_High_3,78.68121771310774,88.58152289108213,7.073526626016125,8.428741858797853,119.44310890825744,NA,435.4667983263506,482.22590046476495
QC_High_4,77.08946507303604,80.87196964454165,10.035430651034405,13.993578656022926,116.36865847322362,NA,513.4433147981442,625.0276600607251
QC_High_5,70.73623729007717,103.61093728373578,8.070158946667984,6.130635927632525,115.14683385037883,NA,436.8277203915899,435.0476985854178
QC_Low_1,3.9257205624614038,3.357907325615629,0.9226630874004029,0.5742138647702222,6.013880676022237,5.874825075164227,19.585639579551632,18.52404948931321
QC_Low_2,3.3864649425720836,2.8298256021358643,0.9562781672027969,0.4819436206248824,6.183779556646943,4.472199164410856,20.664011391624253,23.222118404796195
QC_Low_3,4.105969244527295,4.151610716788481,0.9199160089767806,0.6954308334418325,6.996990406015291,5.767229631380848,22.25319412735204,26.484990177264322
QC_Low_4,3.580982304347933,4.493225987728087,0.7720011656242582,1.3594841664668589,6.325788710888603,6.059722659073446,21.433193892950772,19.582286375042546
QC_Low_5,3.1867488753365887,3.1183500615646786,0.6431032469214355,0.3467733491348976,5.623558178483918,5.495780434498336,16.08447732162946,18.04324683904067
SPL1,1.2142538530956162,0.9677377659216901,0.19877796891675303,-0.22757639286286216,1.757734039544673,1.4479208664405026,7.832106192139824,7.262022687215401
SPL2,1.0477329539901952,0.7458917612546303,0.26169163380334737,-0.3241291959059039,1.6900507127358293,1.3118901992265577,6.189230475087477,5.613730339938196
SPL3,1.0246685400771098,0.8045326537633746,0.25317629215869947,-0.33657864907660967,1.567146144767383,1.467791590585439,7.533208775878102,6.161272812925718
SPL4,1.202172520396252,0.9921133710136321,0.17187669500862296,-0.03132401038581885,1.961293168817074,1.3292219314729872,7.752455111337461,6.709898084284941
